Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,Tenure Group,Avg Charges per Month,Churn Binary
0002-ORFBO,Female,0.30000000000000004,Yes,0.0,Frazier Park,93225,34.827662,-118.999073,2,0.11267605633802817,Unknown,Yes,0.8522479566871867,No,Yes,Cable,0.17500000000000002,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,0.586599241466498,0.07150200090880116,0.0,0.0,0.11778354649898437,0.09114668591377423,Stayed,,,0-1yr,0.4845270357465479,0
0003-MKNFE,Male,0.44999999999999996,No,0.0,Glendale,91206,34.162515,-118.203869,0,0.11267605633802817,Unknown,Yes,0.19163585894160354,Yes,Yes,Cable,0.1,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,0.0,0.06515485782150088,0.8602078143584909,0.07142857142857142,0.029702904271624038,0.05594202488734759,Stayed,,,0-1yr,0.4319783197831978,0
0004-TLHLJ,Male,0.5166666666666667,No,0.0,Costa Mesa,92627,33.645672,-117.922613,0,0.04225352112676056,Offer E,Yes,0.6701107410942404,No,Yes,Fiber Optic,0.35,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.6565528866413822,0.03254001942300604,0.0,0.0,0.04155504536909464,0.03712622342305466,Churned,Competitor,Competitor had better devices,0-1yr,0.524390243902439,1
0011-IGKFF,Male,0.9833333333333334,Yes,0.0,Martinez,94553,38.014457,-122.115432,1,0.16901408450704225,Offer D,Yes,0.5486164657044377,No,Yes,Fiber Optic,0.025,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.8596713021491782,0.15187628532764977,0.0,0.0,0.11165525786171449,0.15147739050107492,Churned,Dissatisfaction,Product dissatisfaction,1-2yr,0.7567408201554543,1
0013-EXCHZ,Female,0.9333333333333333,Yes,0.0,Camarillo,93010,34.227846,-119.079903,3,0.02816901408450704,Unknown,Yes,0.12265711939782184,No,Yes,Fiber Optic,0.11250000000000002,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,0.740834386852086,0.030862827389131996,0.0,0.0,0.0068352801223755975,0.02496640428652988,Churned,Dissatisfaction,Network reliability,0-1yr,0.700193573364305,1
0013-MHZWF,Female,0.06666666666666665,No,1.0,Midpines,95345,37.581496,-119.972762,0,0.11267605633802817,Offer E,Yes,0.3183400089193053,No,Yes,Cable,0.8875000000000001,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,0.6186262115465655,0.06877734321808386,0.0,0.0,0.04659660473668243,0.06676813659574588,Stayed,,,0-1yr,0.4619692863595303,0
0013-SMEOE,Female,0.8,Yes,0.0,Lompoc,93437,34.757477,-120.550507,1,0.9859154929577465,Offer A,Yes,0.17642302514493874,No,Yes,Fiber Optic,0.15000000000000002,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.9582806573957017,0.9831649823252642,0.0,0.0,0.2183214404398883,0.8286550237581484,Stayed,,,5-10yr,0.9064108226595345,0
0014-BMAQU,Male,0.55,Yes,0.0,Napa,94558,38.489789,-122.27011,8,0.8732394366197184,Offer B,Yes,0.23894152019972575,Yes,Yes,Fiber Optic,0.0625,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,0.7471554993678887,0.6681209812857791,0.0,0.14285714285714285,0.25207179378126593,0.59715103482369,Stayed,,,5-10yr,0.6651512637575356,0
0015-UOCOJ,Female,0.8166666666666667,No,0.0,Simi Valley,93063,34.296813,-118.685703,0,0.08450704225352114,Offer E,Yes,0.18830153920534823,No,Yes,DSL,0.23750000000000002,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,0.4399494310998736,0.03995956782564586,0.0,0.0,0.02275648138303095,0.03699198350088986,Stayed,,,0-1yr,0.3237763398042144,0
0016-QLJIS,Female,0.4,Yes,0.3333333333333333,Sheridan,95681,38.984756,-121.345074,3,0.9014084507042254,Unknown,Yes,0.5619537446494589,Yes,Yes,Cable,0.15000000000000002,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,0.7960387694900969,0.7404584607542052,0.0,0.0,0.5711194534048156,0.7510459994050177,Stayed,,,5-10yr,0.7236701509872241,0
0017-DINOC,Male,0.4666666666666667,No,0.0,Rancho Santa Fe,92091,32.99356,-117.207121,0,0.7464788732394366,Unknown,No,0.5042283342155388,Unknown,Yes,Cable,0.1,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,0.4146649810366625,0.30434488754458594,0.0,0.0,0.0,0.23463274487573382,Stayed,,,4-5yr,0.29538435066890356,0
0017-IUDMW,Female,0.10000000000000003,Yes,0.6666666666666666,Sunnyvale,94086,37.378541,-122.020456,2,1.0,Unknown,Yes,0.3025019901720926,Yes,Yes,Fiber Optic,0.7125,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,1.0,1.0,0.0,0.0,0.355879137428401,0.9250431508918145,Stayed,,,5-10yr,0.9094665118079751,0
0018-NYROU,Female,0.65,Yes,0.0,Antelope,95843,38.715498,-121.363411,0,0.056338028169014086,Unknown,Yes,0.35751826582030516,No,Yes,Fiber Optic,0.1,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.6148335440370838,0.04134995378681281,0.0,0.0,0.028789063749391348,0.03995588509170827,Stayed,,,0-1yr,0.5252032520325203,0
0019-EFAEP,Female,0.21666666666666667,No,0.0,La Mesa,91942,32.782501,-117.01611,0,1.0,Offer A,Yes,0.015750492854136017,Yes,Yes,Fiber Optic,0.17500000000000002,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,0.8874841972187104,0.9029839802597616,0.0,0.0,0.05001424479787022,0.7139078971974837,Stayed,,,5-10yr,0.8090656858949542,0
0019-GFNTW,Female,0.33333333333333337,No,0.0,Los Olivos,93441,34.70434,-120.02609,0,0.7746478873239437,Unknown,No,0.5042283342155388,Unknown,Yes,DSL,0.21250000000000002,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,0.4134007585335019,0.31675860256110344,0.0,0.0,0.0,0.24424683426530605,Stayed,,,4-5yr,0.2967811514849842,0
